Keyword,Position,Previous Position,Position Diff,URL,Traffic,Traffic %,Traffic Cost,Volume,CPC,KD %,Competition,Results,Intent,SERP Features,Crawled Time,changeOfTraffic,changeOfTrafficSigned,Click Potential,clickPotentialPercent,keywordSERPFeatures,positionIsSERPFeature,positionOnSERP,positionSERPFeatures,serpFeatureIndex,Traffic Cost %,Trends,URL Hash
ac price in pk,26,26,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/split/dc-inverter/,0,0,0,70,0,21,0,142000000,0,5,2026-04-07 19:20:23,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,35,13,0,0,26; 34; 42; 80; 100; 0; 0; 0; 0; 0; 0; 0,7453427278913411028
ac price in pk,71,71,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/,0,0,0,70,0,21,0,142000000,0,5,2026-04-07 19:20:23,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,80,13,0,0,26; 34; 42; 80; 100; 0; 0; 0; 0; 0; 0; 0,13305780528819208543
prices of air cooler in pakistan,45,45,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,1,0.33,123,0,5,2026-04-07 09:58:38,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,56,,0,0,14; 14; 14; 50; 78; 78; 14; 14; 14; 14; 0; 14,15484263167841740769
prices of air cooler in pakistan,75,75,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,1,0.33,123,0,5,2026-04-07 09:58:38,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,86,,0,0,14; 14; 14; 50; 78; 78; 14; 14; 14; 14; 0; 14,15484263167841740769
lcd tv prices pakistan 2025,32,32,0,https://www.shoppingjin.pk/prices/tv/lcd-led/,0,0,0,50,0,14,0,20100000,0,,2026-04-22 02:58:00,0,0,-1,-1,6; 9; 13; 20; 36; 52,false,40,13,0,0,100,16607891989657479235
lcd tv prices pakistan 2025,55,55,0,https://www.shoppingjin.pk/prices/tv/lcd-led/,0,0,0,50,0,14,0,20100000,0,,2026-04-22 02:58:00,0,0,-1,-1,6; 9; 13; 20; 36; 52,false,63,,0,0,100,16607891989657479235
air fryer price in pakistan,11,11,0,https://www.shoppingjin.pk/prices/kitchen-appliances/fryer/air/,0,0,0,210,0,13,0.07,10500000,0,5,2026-04-22 17:42:10,0,0,-1,-1,5; 9; 13; 21; 36; 52,false,22,13,0,0,7; 15; 19; 15; 7; 7; 7; 100; 29; 36; 10; 12,15623742663397301580
air cooler pakistan price,48,48,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,0,0.33,164,0,5,2026-04-01 16:58:26,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,59,13,0,0,7; 7; 7; 26; 42; 65; 7; 7; 7; 7; 0; 7,15484263167841740769
air cooler pakistan price,57,57,0,https://www.shoppingjin.pk/prices/home-appliances/air-cooler/,0,0,0,40,0,0,0.33,164,0,5,2026-04-01 16:58:26,0,0,-1,-1,5; 6; 9; 13; 36; 52,false,68,13,0,0,7; 7; 7; 26; 42; 65; 7; 7; 7; 7; 0; 7,15484263167841740769
2000w ceramic fan heater,87,87,0,https://www.shoppingjin.pk/,0,0,0,70,0,23,0,1040000,0,5,2026-04-13 04:35:21,0,0,-1,-1,5; 6; 9; 13; 20; 21; 34; 36,false,99,,0,0,6; 34; 34; 34; 100; 15; 0; 0; 0; 0; 0; 0,6285028203693436936
dawlance fridge in pakistan price,29,29,0,https://www.shoppingjin.pk/price/dawlance/refrigerator-2/,0,0,0,70,0,13,0.33,95,2; 3,5,2026-05-15 23:57:05,0,0,-1,-1,5; 6; 9; 21; 36,false,36,,0,0,6; 6; 100; 34; 34; 34; 6; 6; 6; 6; 6; 6,1545778752807873152
air conditioner rates in pakistan,37,37,0,https://www.shoppingjin.pk/prices/home-appliances/air-conditioner/,0,0,0,90,0,22,0,177000000,0; 1,,2026-04-22 17:34:01,0,0,-1,-1,6; 9; 21; 36; 52,false,46,,0,0,15; 21; 9; 28; 53; 100; 28; 15; 21; 12; 15; 12,13305780528819208543
deep freezer price,92,92,0,https://www.shoppingjin.pk/,0,0,0,110,0.38,36,1,307000000,3,5,2026-04-13 17:46:29,0,0,-1,-1,5; 6; 9; 13; 34; 36; 52,false,101,,0,0,9; 26; 3; 1; 3; 17; 14; 17; 11; 11; 14; 11,6285028203693436936
washing machines in pakistan by prices,25,25,0,https://www.shoppingjin.pk/prices/home-appliances/washing-machine/,0,0,0,50,0,9,0.01,7400000,0,,2026-04-22 02:00:30,0,0,-1,-1,6; 9; 13; 36; 52,false,30,13,0,0,71; 100; 42; 71; 100; 100; 57; 71; 100; 100; 0; 71,9849883779298793621
sem 101,75,75,0,https://www.shoppingjin.pk/product/nasgas-sem-101-semi-instant-electric-water-heater/,0,0,0,90,9.53,9,0.18,225000000,1,,2026-04-20 10:40:01,0,0,-1,-1,9; 21; 36,false,79,,0,0,28; 5; 43; 35; 17; 12; 12; 43; 17; 17; 10; 23,6536957926449803227
national micro oven,41,41,0,https://www.shoppingjin.pk/product/national-microwave-oven-20l/,0,0,0,50,0,4,0.02,15900000,1; 3,5,2026-04-17 17:06:47,0,0,-1,-1,5; 6; 9; 20; 34; 36,false,47,,0,0,9; 0; 0; 0; 9; 18; 100; 100; 100; 81; 45; 36,5525738882882972423
pakistan dawlance refrigerator price,29,29,0,https://www.shoppingjin.pk/price/dawlance/refrigerator-2/,0,0,0,50,0,18,0.33,1340000,2; 3,,2026-04-06 02:54:39,0,0,-1,-1,6; 9; 13; 21; 36,false,33,13,0,0,18; 18; 100; 100; 100; 100; 18; 18; 18; 18; 18; 18,1545778752807873152
air conditioning pakistan,79,79,0,https://www.shoppingjin.pk/,0,0,0,50,0,23,0.02,687000000,0,,2026-04-13 18:54:35,0,0,-1,-1,6; 9; 13; 36,false,79,,0,0,18; 18; 18; 100; 100; 100; 100; 18; 18; 18; 18; 18,6285028203693436936
